source_id,class_code,active,tier,status,sitemap_products,sds_library_visible,products_registered,producers_registered,trade_kg_hs3208,trade_eur_hs3208,trade_kg_hs3209,trade_eur_hs3209,products_listed,doc_links_seen,walk_budget_exhausted,catalog_count,category_count,page_sample_ok,sds_sample_ok,records_hs3208,records_hs3209,records_hs3213,export_rows,census_status,last_run_key,products_identifiable,cap_manufacturer,cap_product_ident,cap_cn8_linkage,cap_depth_tier,cn8_reachable,real_product_source
PE-40,PE,1,d,failed,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-pe40-2,—,—,—,—,—,—,0
PE-41,PE,1,d,blocked,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-pe41-2,—,—,—,—,—,—,0
PE-42,PE,1,d,blocked,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-pe42-2,—,—,—,—,—,—,0
PE-43,PE,1,b,done,126929 count,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-pe43-2,—,—,—,—,—,—,0
PE-44,PE,1,b,done,0 count,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-pe44-2,—,—,—,—,—,—,0
PE-45,PE,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0
PE-46,PE,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0
PE-47,PE,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0
PE-48,PE,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0
PE-49,PE,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0
PE-50,PE,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0
PE-51,PE,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0
PE-52,PE,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0
PE-53,PE,1,c,done,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-pe53-2,—,—,—,—,—,—,0
PE-54,PE,1,d,failed,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-pe54-2,—,—,—,—,—,—,0
PE-55,PE,1,b,done,0 count,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-pe55-2,—,—,—,—,—,—,0
PE-56,PE,1,d,failed,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-pe56-2,—,—,—,—,—,—,0
PE-57,PE,1,b,done,0 count,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-pe57,—,—,—,—,—,—,0
PE-58,PE,1,d,failed,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-pe58,—,—,—,—,—,—,0
PE-59,PE,1,b,done,0 count,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-pe59,—,—,—,—,—,—,0
PE-60,PE,1,b,done,0 count,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-pe60,—,—,—,—,—,—,0
PE-61,PE,1,b,done,0 count,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-pe61,—,—,—,—,—,—,0
PE-62,PE,1,b,done,0 count,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-pe62,—,—,—,—,—,—,0
ST-1,ST,0,—,done,—,—,1444290,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-st1manual-2,—,—,—,—,—,—,0
ST-2,ST,1,d,failed,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260912-st2-7,—,—,—,—,—,—,0
ST-3,ST,0,—,done,—,—,—,3300,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-st3manual,—,—,—,—,—,—,0
ST-4,ST,1,d,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0
ST-5,ST,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0
ST-6,ST,0,—,done,—,—,40000,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-st6manual-2,—,—,—,—,—,—,0
ST-7,ST,0,—,done,—,—,71231,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,probe-20260914-st7manual,—,—,—,—,—,—,0

section,key,subkey,value
funnel,q1,label,modeled estimate — never a DB count
funnel,q1,range,"[85840, 343360]"
funnel,q2,label,"definitively identifiable: N (floor) — distinct (manufacturer, ident) pairs over staged registers"
funnel,q2,value,17170
funnel,q3,label,modeled SDS reach — Σ sitemap products over sites with a visible SDS library; match-rate assumption pending (upper bound shown)
funnel,q3,value,3590
funnel,ratio,label,share of the modeled pool that is definitively identifiable (epistemic label: floor ÷ range)
funnel,ratio,low,0.05
funnel,ratio,high,0.2
cn8_trade,32081010,flow 1,kg=96221280.0 eur=338554554.0 rows=114
cn8_trade,32081010,flow 2,kg=88214956.0 eur=419938776.0 rows=290
cn8_trade,32081090,flow 1,kg=508974440.0 eur=2370178364.0 rows=160
cn8_trade,32081090,flow 2,kg=621923952.0 eur=3223648970.0 rows=378
cn8_trade,32082010,flow 1,kg=154320056.0 eur=777431560.0 rows=130
cn8_trade,32082010,flow 2,kg=190823414.0 eur=1041678780.0 rows=346
cn8_trade,32082090,flow 1,kg=528028188.0 eur=2988188972.0 rows=184
cn8_trade,32082090,flow 2,kg=632469684.0 eur=3995346462.0 rows=386
cn8_trade,32089011,flow 1,kg=3611750.0 eur=28164056.0 rows=96
cn8_trade,32089011,flow 2,kg=4358152.0 eur=27715012.0 rows=232
cn8_trade,32089013,flow 1,kg=95158.0 eur=1099884.0 rows=36
cn8_trade,32089013,flow 2,kg=6498.0 eur=69574.0 rows=16
cn8_trade,32089019,flow 1,kg=249204850.0 eur=1154375786.0 rows=168
cn8_trade,32089019,flow 2,kg=369543266.0 eur=2059845204.0 rows=368
cn8_trade,32089091,flow 1,kg=787536896.0 eur=3769228880.0 rows=200
cn8_trade,32089091,flow 2,kg=980254990.0 eur=5299614964.0 rows=394
cn8_trade,32089099,flow 1,kg=143309344.0 eur=783744700.0 rows=190
cn8_trade,32089099,flow 2,kg=169814032.0 eur=882730840.0 rows=368
cn8_trade,32091000,flow 1,kg=1433611454.0 eur=3671260676.0 rows=218
cn8_trade,32091000,flow 2,kg=1938020436.0 eur=4971468728.0 rows=382
cn8_trade,32099000,flow 1,kg=665543716.0 eur=2550327994.0 rows=236
cn8_trade,32099000,flow 2,kg=821382136.0 eur=3401312414.0 rows=388
cn8_trade,32131000,flow 1,kg=61175808.0 eur=336092588.0 rows=184
cn8_trade,32131000,flow 2,kg=33547382.0 eur=281144084.0 rows=330
cn8_trade,32139000,flow 1,kg=50154936.0 eur=310107402.0 rows=198
cn8_trade,32139000,flow 2,kg=53320968.0 eur=401244536.0 rows=324
identity,AS-2,run probe-20260914-as2-2,entries=17838 pairs=17170 mfr=160 completeness=16.0%
depth,tier 1,,13
depth,tier 2,,1
depth,tier 3,,0
depth,tier 4,,0
sds_counts,PE-23,sds_doc_urls,1133.0
sds_counts,PE-20,sds_doc_urls,659.0
sds_counts,PE-43,sds_doc_urls,401.0
sds_counts,PE-27,sds_doc_urls,5.0
sds_counts,PE-34,sds_doc_urls,5.0
sds_counts,PE-29,sds_doc_urls,4.0
sds_counts,PE-11,sds_doc_urls,3.0
sds_counts,PE-19,sds_doc_urls,3.0
sds_counts,PE-10,sds_doc_urls,2.0
sds_counts,PE-28,sds_doc_urls,2.0
sds_counts,PE-32,sds_doc_urls,1.0
census,enumerated,,103
census,probed,,57
census,counted,,35
reconciliation,AS-2,ok,"staged rows 17838 (no products_registered metric — reconciled against the staged count, run probe-20260914-as2-2)"
reconciliation,ST-1,staging-absent,metric present but no staged rows
reconciliation,ST-6,staging-absent,metric present but no staged rows
reconciliation,ST-7,staging-absent,metric present but no staged rows
reconciliation,CS-2,ok,6316 staged trade rows
pool_v2,B1,band,low=46250.0 base=98750 high=210000.0 base_class=b
pool_v2,B2-SE,band,low=1812116.64 base=2416156 high=3020194.4 base_class=e
pool_v2,B2-DK,band,low=558516.0 base=787416 high=1016316.0 base_class=e
pool_v2,B3,band,low=144429.0 base=433287 high=866574.0 base_class=e
pool_v2,B4,band,low=20000.0 base=123000 high=495000.0 base_class=c
pool_v2,B5,band,low=123200.0 base=246400 high=739200.0 base_class=d
pool_v2,B6,band,low=14700 base=20648 high=26597 base_class=a
pool_v2,verdict_sku,e,available=7 confidence=None
pool_v2,verdict_formulation,c,available=7 confidence=None
