product,license number,ecolabel,category,product group,criteria generation,brand,licensee,address,city,source_id,run_key,retrieval_date,doc_hash,sample_seed,sample_index
"TURBON, for use in HP CLJ Enterprise M455dn", MFP M480f, Pro M454dn/dw," MFP M479dw/fdn/fdw/fnw, Black, (W2030X", 415X),3008 0046 (308046),Nordic Swan Ecolabel,HP,008 Refurbished OEM Toner and Ink Cartridges,5,AS-3,probe-20260914-as3csvsample,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,1
"Sigma Solid Window Aqua Hvid/Base LN, 2,5 l",DK/044/003,EU Ecolabel,Exterior paint (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Sigma,PPG Coatings Danmark A/S,Gladsaxevej 300,Søborg,AS-3,probe-20260914-as3csvsample,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,2
"Creativ Company Finger Paint  Purple, 500ml",3057 0009,Nordic Swan Ecolabel,Craft Paint,057 Office and hobby supplies,5,,Havo B.V.,P.O. Box 320,AH Ermelo,AS-3,probe-20260914-as3csvsample,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,3
"Ekora 12 Bas 1, 18 l",4096 0020,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Teknos,Teknos Oy,Takkatie 3,Helsinki,AS-3,probe-20260914-as3csvsample,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,4
"EFAcare Vægmaling 10, 5 l",DK/044/005,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,EFA Paint,EFApaint A/S,Energivej 13,Esbjerg,AS-3,probe-20260914-as3csvsample,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,5
"TURBON, for use in HP LJ 1100", LJ 3200 Serie, Canon LBP-1110 / -SE," LBP-250/350/800/810 HC , Black, replaces, (C4092A+ / EP 22+)",3008 0046 (308046),Nordic Swan Ecolabel,HP,008 Refurbished OEM Toner and Ink Cartridges,5,Turbon,AS-3,probe-20260914-as3csvsample,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,6
"Mood Learn w.arms, seat upholstry", Fabric: Remix, Shell: Black, Frame: Black, Item no: MOL-1555-6501-Remix,DK/049/007,EU Ecolabel,Chair (EU Ecolabel),EU49 Furniture,1,AS-3,probe-20260914-as3csvsample,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,7
"Flügger Dekso 5 Sort, 0,75 l (37487)","SE/044/002, SE/044/002",EU Ecolabel,Indoor varnish (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,8
"Droppen Elegance, Utelasyr transparent oljebaserad, 4 l",DK/044/001,EU Ecolabel,Outdoor varnishes and outdoor stain (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Droppen Elegance,Nowocoat Industrial A/S,Stålvej 3,Kolding,AS-3,probe-20260914-as3csvsample,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,9
"TURBON, for use in Lexmark C 540n / -543 dn / -544 n / -dn", X 543 dn / -544n / -dn / -dw, X546 dtn," X 548 de / -dte , Black, (C540H2KG)",3008 0046 (308046),Nordic Swan Ecolabel,Lexmark,008 Refurbished OEM Toner and Ink Cartridges,5,Turbon,AS-3,probe-20260914-as3csvsample,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,10
Beckers Scotte 70 Snickerifinish Base A,"4096 0001, 4096 0027",Nordic Swan Ecolabel,Indoor varnish.,096 Paints and varnishes,4,Beckers,Tikkurila Oyj,Heidehofintie 2,Vantaa,AS-3,probe-20260914-as3csvsample,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,11
"ABENA Puri Line Grundrent, 5 l",5026 0015,Nordic Swan Ecolabel,Interior cleaning agent before painting,026 Cleaning products,6,ABENA Puri-Line,Novadan ApS,Platinvej 21,Kolding,AS-3,probe-20260914-as3csvsample,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,12
"Beckers Scotte Microgrund, 10 l",DK/044/003,EU Ecolabel,Universal paint (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Beckers,PPG Coatings Danmark A/S,Gladsaxevej 300,Søborg,AS-3,probe-20260914-as3csvsample,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,13
"TURBON, for use in HP LJ 1100", LJ 3200 Serie, Canon LBP-1110 / -SE," LBP-250/350/800/810 , Black, (C4092A / EP 22)",3008 0046 (308046),Nordic Swan Ecolabel,HP,008 Refurbished OEM Toner and Ink Cartridges,5,Turbon,AS-3,probe-20260914-as3csvsample,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,14
