product,license number,ecolabel,category,product group,criteria generation,brand,licensee,address,city,source_id,run_key,retrieval_date,doc_hash,sample_seed,sample_index
"Colorex Eminent 2, Takfärg Vit","3096 0045, 3096 0007",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Colorex,Hagmans Nordic AB (Fritsla),Box 112,Fritsla,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,1
Beckers Front Akrylatfärg Max White,"3096 0001, 3096 0001",Nordic Swan Ecolabel,.,096 Paints and varnishes,4,Beckers,Tikkurila Sverige AB,Textilgatan 31,Stockholm,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,2
"Flügger Interior Strong Finish 40 White, 0,75 l","SE/044/002, SE/044/002",EU Ecolabel,Exterior paint (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,3
"Flügger Interior High Finish 20 Base 4, 0,7 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,4
"Flügger Flutex 7S+ Kalkvit S0502-Y, 3 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,5
"Ekora 3 Vit, 9 l",4096 0020,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Teknos,Teknos Oy,Takkatie 3,Helsinki,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,6
"Clas Ohlson Väggfärg 7 Pure White, 3 l","SE/044/007, SE/044/007",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Clas Ohlson,Clas Ohlson AB,Clas Ohlsons väg,INSJÖN,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,7
Yunik Pro Wall Paint 7 White,"3096 0024, 3096 0024",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Yunik Pro,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,8
CanCan Supermatt Takfärg bas A,2096 0018,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,CANCAN,Gjøco AS,Ørveien 1160,Torvikbukt,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,9
"Notes Pure Matt Earl Greyish, 2 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Notes,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,10
Beckers It's Easy Matt Wall Paint Sundborn 743,"4096 0001, 4096 0027",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Beckers,Tikkurila Oyj,Heidehofintie 2,Vantaa,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,11
Beckers It's Easy Matt Wall Paint Cream 587,"4096 0001, 4096 0027",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Beckers,Tikkurila Oyj,Heidehofintie 2,Vantaa,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,12
"CELLO FEEL Helmatt interiörfärg BAS3, 2,7 l",4096 0019,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Cello,Kesko Oyj,Työpajankatu 12,KESKO,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,13
"Flügger Flutex 7S Råvit S0500-N, 10 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,14
Flügger Flutex Pro 7 Base 4,"3096 0024, 3096 0024",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,15
Supertäck 2 Vit,3096 0021,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Caparol,DAW Nordic AB,Box 36115,GÖTEBORG,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,16
Beckers Interio Väggfärg 10 White,"4096 0001, 4096 0027",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Beckers,Tikkurila Oyj,Heidehofintie 2,Vantaa,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,17
"Yunik Väggfärg 5 Svart, 0,75 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Yunik,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,18
"Flügger Flutex 5 Base 6, 9,1 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,19
Yunik Pro Wall Paint 7 Base 4,"3096 0024, 3096 0024",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Yunik Pro,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,20
"Notes Pure Matt Berry Moment, 2 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Notes,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,21
"Flügger Flutex 7S+ Ass., 10 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,22
PP Super Acryl 5 Base 3,"3096 0024, 3096 0024",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,PP,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,23
Flügger Perform 5 Base 3,"3096 0024, 3096 0024",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,24
Alcro Fasad Täcklasyr White/ Base A,"3096 0001, 3096 0001",Nordic Swan Ecolabel,.,096 Paints and varnishes,4,Alcro,Tikkurila Sverige AB,Textilgatan 31,Stockholm,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,25
"Flügger Dekso 5 Ceramic Flügger White / Base 1, 2,8 l (37480)","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,26
"Notes Pure Matt Garden Note, 2 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Notes,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,27
"Luxi Väggfärg 10 Vit, 4,5 l",DK/044/004,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Luxi,Jem & Fix,Skomagervej 12,Vejle,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,28
Flügger Perform 20 White/Base 1,"3096 0024, 3096 0024",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,29
"Flügger Dekso 5 Base 3, 2,8 l (37482)","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,30
"Flügger Flutex 7S Bas 1, 2,8 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,31
"Landora Väggfärg 07 Salvia 2,5 L","SE/044/006, SE/044/006",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Landora,Hagmans Nordic AB (Fritsla),Box 112,Fritsla,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,32
"Clas Ohlson Väggfärg 7 Pure White, 10 l","SE/044/007, SE/044/007",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Clas Ohlson,Clas Ohlson AB,Clas Ohlsons väg,INSJÖN,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,33
"CELLO FEEL Helmatt interiörfärg BAS1, 0,9 l",4096 0019,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Cello,Kesko Oyj,Työpajankatu 12,KESKO,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,34
"Nordic Chic Furniture Paint, Storm Grey, 750ml",DE/044/046,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Nordic Chic,Nordic Chic,Dragstrupvej 9,Gilleleje,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,35
"Clas Ohlson Gloss Paint 80 Aged White High Gloss, 0,75 l","SE/044/007, SE/044/007",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Clas Ohlson,Clas Ohlson AB,Clas Ohlsons väg,INSJÖN,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,36
"Nordic Chic Furniture Paint, Baby Blue, 750ml",DE/044/046,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Nordic Chic,Nordic Chic,Dragstrupvej 9,Gilleleje,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,37
"Luxi Väggfärg Matt 7 Modevit, 2,5 l",DK/044/004,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Luxi,Jem & Fix,Skomagervej 12,Vejle,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,38
Flügger Interior Strong Finish 20 Base 4,3096 0032,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,39
"Beckers Mood Air Wall, bas A, 0,9 L",FI/044/001,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Beckers,Tikkurila Oyj,Heidehofintie 2,Vantaa,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,40
PP Wood Superdec White / Base 1,"3096 0048, 3096 0024",Nordic Swan Ecolabel,.,096 Paints and varnishes,4,,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,41
Yunik Pro Facade Flex Base 3,"3096 0048, 3096 0024",Nordic Swan Ecolabel,.,096 Paints and varnishes,4,Yunik Pro,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,42
DecoTREND Elegance Color loftmaling,2096 0018,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Gjøco,Gjøco AS,Ørveien 1160,Torvikbukt,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,43
"Nordic Chic Furniture Paint, Silky Yellow, 750ml",DE/044/046,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Nordic Chic,Nordic Chic,Dragstrupvej 9,Gilleleje,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,44
"Bleo Matte C, 10 l",DK/044/002,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Blēo,Beck & Jørgensen A/S,Rosenkæret 25,Søborg,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,45
Yunik Pro Wood Superdec Semi Matt White / Base 1,"3096 0048, 3096 0024",Nordic Swan Ecolabel,.,096 Paints and varnishes,4,Yunik Pro,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,46
"Gjøco Fashion 05 base hvit, base A, base B og base C",2096 0006,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Gjøco,Gjøco AS,Ørveien 1160,Torvikbukt,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,47
"Nordic Chic Furniture Paint, Camelia, 150ml",DE/044/046,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Nordic Chic,Nordic Chic,Dragstrupvej 9,Gilleleje,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,48
Flügger Flutex 2S Black,"3096 0024, 3096 0024",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,49
"BIORA AIR CEILING PURE WHITE, 9 L",4096 0020,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Teknos,Teknos Oy,Takkatie 3,Helsinki,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,50
Beckers Mood Smooth Wall White/Base A,"4096 0001, 4096 0027",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Beckers,Tikkurila Oyj,Heidehofintie 2,Vantaa,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,51
"Flügger Flutex Pro 2 Offwhite S0500-N, 10 l (40075)","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,52
Flügger Wood Tex Window  Black,"3096 0048, 3096 0024",Nordic Swan Ecolabel,.,096 Paints and varnishes,4,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,53
"Bleo Semi Gloss Base C, 1 l",DK/044/002,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Blēo,Beck & Jørgensen A/S,Rosenkæret 25,Søborg,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,54
"Flügger Flutex Pro 7 Base 4, 0,7 l (30818)","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,55
"Clas Ohlson Väggfärg 7 Iron Ore, 3 l","SE/044/007, SE/044/007",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Clas Ohlson,Clas Ohlson AB,Clas Ohlsons väg,INSJÖN,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,56
PP Super Enamel 40 Base 1,"3096 0024, 3096 0024",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,PP,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,57
"Nordic Chic Furniture Paint, Forrest, 750ml",DE/044/046,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Nordic Chic,Nordic Chic,Dragstrupvej 9,Gilleleje,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,58
"Flügger Dekso 5 Sort, 0,75 l (37487)","SE/044/002, SE/044/002",EU Ecolabel,Indoor varnish (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,59
"Nordic Chic Furniture Paint, Midnight Blues, 750ml",DE/044/046,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Nordic Chic,Nordic Chic,Dragstrupvej 9,Gilleleje,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,60
Midun Väggfärg 7 Krita,"3096 0045, 3096 0007",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Midun,Hagmans Nordic AB (Fritsla),Box 112,Fritsla,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,61
"Flügger Flutex 7, Råvit, 3 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,62
Flügger Interior Strong Finish 20 Offwhite,3096 0032,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,63
"BIORA BALANCE Helmatt interiörfärg BAS1, 2,7 l",4096 0020,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Teknos,Teknos Oy,Takkatie 3,Helsinki,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,64
"Flügger Floor Paint PU Black, 0,75 l",3096 0032,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,65
"Yunik Lackfärg 90 Plus 500 Vit, 0,75 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Yunik,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,66
"Flügger Interior High Finish 20 Base 4, 0,35 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,67
"Flügger Dekso 5 Svart, 3 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,68
RAW Wall Paint 5 RAL 9010,"3096 0024, 3096 0024",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,RAW,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,69
"Nordic Chic Furniture Paint, Slate, 750ml",DE/044/046,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Nordic Chic,Nordic Chic,Dragstrupvej 9,Gilleleje,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,70
"Flügger Interior Strong Finish 20 White, 3 l","3096 0032, SE/044/002","Nordic Swan Ecolabel, EU Ecolabel",Indoor paints.,096 Paints and varnishes,4,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,71
"Yunik Väggfärg 10 Bas CC, 9,1 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Yunik,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260914-as3csvsample-3,2026-09-14,3ccc0aff6a434761dd3865079346ca858cea3a4c7064cf6b19224f3dfa0b1577,42,72
