product_or_service,licence_number,group_name,code_type,code_value,product_or_service_name,decision,expiration_date,company_name,company_country,vat_number,extract_date,source_id,run_key,retrieval_date,doc_hash,sample_seed,sample_index
PRODUCT,FR/044/020,"Decorative paints, varnishes, and related products (2014 criteria)",,,"Brandikote Eco Matt  SIGMA  Base Neutra  12,5L",2014/312/EU,2027-06-17,PPG AC France,France,FR56572093243,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,70
PRODUCT,FR/044/020,"Decorative paints, varnishes, and related products (2014 criteria)",,,LM 18 Envie Mat Aspect Velours Blanc LEROY MERLIN  vert argile,2014/312/EU,2027-06-17,PPG AC France,France,FR56572093243,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,71
PRODUCT,FR/044/028,"Decorative paints, varnishes, and related products (2014 criteria)",Internal Producer ID,GO2001,Algo-Pro Mat ALGO-PRO par Théolaur Peintures BTP 1L,2014/312/EU,2027-06-17,theolaur peinture,France,FR36401971015,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,72
PRODUCT,FR/044/024,"Decorative paints, varnishes, and related products (2014 criteria)",EAN13,3436950090995,Parkettimprägnierer MAULER,2014/312/EU,2027-06-17,Produits Mauler,France,FR95392171351,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,73
PRODUCT,BE/044/006,"Decorative paints, varnishes, and related products (2014 criteria)",EAN13,5413186018922,Produit : BOSS-ONE MAT Bases :  my B Colorant :  B2W Quantité :  10L,2014/312/EU,2027-06-17,BOSS paints,Belgium,BE0425180692,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,74
PRODUCT,FR/044/007,"Decorative paints, varnishes, and related products (2014 criteria)",,,"Multi-support Mat Couleurs CARREFOUR Meringue 2,5L",2014/312/EU,2027-06-17,SOMEFOR,France,FR29379737869,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,75
PRODUCT,SE/044/006,"Decorative paints, varnishes, and related products (2014 criteria)",,,"Colorex Vagans Pro+ 4, bas C, 2,7 l",2014/312/EU,2027-06-17,Hagmans Nordic AB,Sweden,SE556071489001,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,76
PRODUCT,FR/044/008,"Decorative paints, varnishes, and related products (2025 criteria)",,,"Laque Intérieure Portes, Boiseries, Fenêtres Satin LUXENS  Incolore 0,5 L",2025/2607,2032-12-31,V33,France,FR88305690158,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,77
PRODUCT,FR/044/023,"Decorative paints, varnishes, and related products (2014 criteria)",,,Parades de Interior Todas Las estancias / Todas as divisoes  LUXENS  smoke 6,2014/312/EU,2027-06-17,RENAULAC,France,FR35394144893,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,78
PRODUCT,FR/044/008,"Decorative paints, varnishes, and related products (2025 criteria)",,,Lasur Protector de Madera Alta Proteccion / Protector de Madeira Alta Proteçao (8ans)  LUXENS  Carvalho escuro,2025/2607,2032-12-31,V33,France,FR88305690158,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,79
